Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
nci-commons-struts2-1.2.17.jar,b99926254e1fcff5b07f6102206a59c541bc72fd,<dependency><groupId>ncicb</groupId><artifactId>nci-commons-struts2</artifactId><version>1.2.17</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/ncicb/nci-commons-struts2/1.2.17/nci-commons-struts2-1.2.17.jar
castor-1.0.4.jar,03c4088f4b880f5d44f007731377a0cdebcacb6c,<dependency><groupId>org.codehaus.castor</groupId><artifactId>castor</artifactId><version>1.0.4</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/org.codehaus.castor/castor/1.0.4/castor-1.0.4.jar
mail-1.2.jar,c00c3d424758dd048c12ad527b9295b3fd44c7e6,<dependency><groupId>javax.mail</groupId><artifactId>mail</artifactId><version>1.2</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/javax.mail/mail/1.2/mail-1.2.jar
cog-axis-noversion.jar,07c9d190f2b9abc33c2e76336e47b5a393dae3a9,<dependency><groupId>globus</groupId><artifactId>jcogfx</artifactId><version>noversion</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/globus/jcogfx/noversion/cog-axis-noversion.jar
wss4j-noversion.jar,0dbd233eae01df5d23fb5e6686a4b034a099d892,<dependency><groupId>globus</groupId><artifactId>wss4j</artifactId><version>noversion</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/globus/wss4j/noversion/wss4j-noversion.jar
jce-jdk1.3_1.25.jar,c8ae7bd08e6799219bdd94e7de142daed2ba6d32,<dependency><groupId>bouncycastle</groupId><artifactId>bouncycastle</artifactId><version>jdk1.3_1.25</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/bouncycastle/bouncycastle/jdk1.3_1.25/jce-jdk1.3_1.25.jar
jdbc-se-2.0.jar,4bad47973a391502c90a9eb124b72f199a0db88a,<dependency><groupId>jdbc-se</groupId><artifactId>jdbc-se</artifactId><version>2.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/jdbc-se/jdbc-se/2.0/jdbc-se-2.0.jar
yuicompressor-2.3.5.jar,e1ce04e528300c2083c250c691c8703a07ff2b61,<dependency><groupId>com.yahoo</groupId><artifactId>yuicompressor</artifactId><version>2.3.5</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/com.yahoo/yuicompressor/2.3.5/yuicompressor-2.3.5.jar
dozer-4.4.1.jar,59cdf417363565aaaad554128ae6331d2efd7448,<dependency><groupId>dozer</groupId><artifactId>dozer</artifactId><version>4.4.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/dozer/dozer/4.4.1/dozer-4.4.1.jar
ledatastream-1.8.jar,77a18fc5cdf8a80ad776ba281ade45a70932ea64,<dependency><groupId>mindprod</groupId><artifactId>ledatastream</artifactId><version>1.8</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/mindprod/ledatastream/1.8/ledatastream-1.8.jar
